clip_uid,play_id,filmroom_url,pitch_type,game_date,game_pk,at_bat_number,pitch_number,stand,p_throws,balls,strikes,release_speed,description,video_file
831482_ab29_p2,0b154c2a-f278-3533-90b4-49f6be4d6bb3,"https://www.mlb.com/video/search?q=playid=""0b154c2a-f278-3533-90b4-49f6be4d6bb3""",CH,2026-02-27,831482,29,2,R,R,1,0,84.3,hit_into_play,
831482_ab30_p1,6242a045-aa7e-30cf-8941-ca7581b518fe,"https://www.mlb.com/video/search?q=playid=""6242a045-aa7e-30cf-8941-ca7581b518fe""",CH,2026-02-27,831482,30,1,L,R,0,0,83.9,ball,
831482_ab30_p2,5a542092-cbe2-3ace-96e7-d16a17659e78,"https://www.mlb.com/video/search?q=playid=""5a542092-cbe2-3ace-96e7-d16a17659e78""",CH,2026-02-27,831482,30,2,L,R,1,0,83,called_strike,
831482_ab31_p3,c95a08d0-469a-3f5f-a146-e76e0a32c1b7,"https://www.mlb.com/video/search?q=playid=""c95a08d0-469a-3f5f-a146-e76e0a32c1b7""",CH,2026-02-27,831482,31,3,R,R,1,1,85.5,hit_into_play,
831434_ab58_p4,080bd5d7-5e24-3a73-b392-17f4e715c2fc,"https://www.mlb.com/video/search?q=playid=""080bd5d7-5e24-3a73-b392-17f4e715c2fc""",CH,2026-03-03,831434,58,4,R,R,2,1,81.8,swinging_strike,
831434_ab58_p5,,,CH,2026-03-03,831434,58,5,R,R,2,2,83.6,called_strike,
831434_ab59_p3,0241cc47-a838-38a9-8f3a-ab3edbf329a8,"https://www.mlb.com/video/search?q=playid=""0241cc47-a838-38a9-8f3a-ab3edbf329a8""",CH,2026-03-03,831434,59,3,R,R,1,1,83.2,foul,
831434_ab60_p1,1e89fe67-8a98-3774-80ae-d36a9c254d03,"https://www.mlb.com/video/search?q=playid=""1e89fe67-8a98-3774-80ae-d36a9c254d03""",CH,2026-03-03,831434,60,1,R,R,0,0,82.4,called_strike,
831480_ab33_p1,6c5bb333-c1d7-3a64-abf1-0224509d7999,"https://www.mlb.com/video/search?q=playid=""6c5bb333-c1d7-3a64-abf1-0224509d7999""",CH,2026-03-06,831480,33,1,R,R,0,0,84.3,called_strike,
831480_ab33_p3,eca26581-994d-3a4d-8ac4-2c4a76f317ae,"https://www.mlb.com/video/search?q=playid=""eca26581-994d-3a4d-8ac4-2c4a76f317ae""",CH,2026-03-06,831480,33,3,R,R,0,2,84.2,called_strike,
831480_ab35_p1,9f244c9f-b69d-3b1b-8882-acd67f7715db,"https://www.mlb.com/video/search?q=playid=""9f244c9f-b69d-3b1b-8882-acd67f7715db""",CH,2026-03-06,831480,35,1,R,R,0,0,83.1,ball,
831480_ab35_p2,4284252d-86ab-308c-a1d6-d735423f63d2,"https://www.mlb.com/video/search?q=playid=""4284252d-86ab-308c-a1d6-d735423f63d2""",CH,2026-03-06,831480,35,2,R,R,1,0,84.4,ball,
831480_ab35_p4,dca1fc3a-5e96-3b3a-97ca-a5aebba119ec,"https://www.mlb.com/video/search?q=playid=""dca1fc3a-5e96-3b3a-97ca-a5aebba119ec""",CH,2026-03-06,831480,35,4,R,R,2,1,84.5,ball,
831480_ab36_p2,6302d579-7107-39d8-92d1-b2e7e63aa923,"https://www.mlb.com/video/search?q=playid=""6302d579-7107-39d8-92d1-b2e7e63aa923""",CH,2026-03-06,831480,36,2,R,R,1,0,84.4,ball,
831468_ab36_p3,ccc1fcc8-fd79-3929-8eff-bee9cd361111,"https://www.mlb.com/video/search?q=playid=""ccc1fcc8-fd79-3929-8eff-bee9cd361111""",CH,2026-03-09,831468,36,3,L,R,1,1,85,swinging_strike,
