clip_uid,play_id,filmroom_url,pitch_type,game_date,game_pk,at_bat_number,pitch_number,stand,p_throws,balls,strikes,release_speed,description,video_file
831482_ab29_p1,352cf680-4686-36bd-8a3e-f215d47493a7,"https://www.mlb.com/video/search?q=playid=""352cf680-4686-36bd-8a3e-f215d47493a7""",FF,2026-02-27,831482,29,1,R,R,0,0,93.3,ball,
831482_ab31_p1,3be2e98b-f7a7-346e-aff5-dd4558adb088,"https://www.mlb.com/video/search?q=playid=""3be2e98b-f7a7-346e-aff5-dd4558adb088""",FF,2026-02-27,831482,31,1,R,R,0,0,94.4,called_strike,
831434_ab58_p2,ab6e3a20-d68b-3b25-a22f-a052d537d283,"https://www.mlb.com/video/search?q=playid=""ab6e3a20-d68b-3b25-a22f-a052d537d283""",FF,2026-03-03,831434,58,2,R,R,1,0,92.5,called_strike,
831434_ab58_p3,d0372991-3743-37a1-b105-910126a73793,"https://www.mlb.com/video/search?q=playid=""d0372991-3743-37a1-b105-910126a73793""",FF,2026-03-03,831434,58,3,R,R,1,1,92.7,ball,
831434_ab59_p2,b2bd4127-3edb-3d17-a2de-1508fa87448f,"https://www.mlb.com/video/search?q=playid=""b2bd4127-3edb-3d17-a2de-1508fa87448f""",FF,2026-03-03,831434,59,2,R,R,1,0,92.6,foul,
831480_ab33_p2,abbbaf39-2e73-376b-a040-11d9ab928048,"https://www.mlb.com/video/search?q=playid=""abbbaf39-2e73-376b-a040-11d9ab928048""",FF,2026-03-06,831480,33,2,R,R,0,1,93.7,called_strike,
831480_ab34_p1,c4b14e39-4d4d-3345-a696-ac60aecb04c1,"https://www.mlb.com/video/search?q=playid=""c4b14e39-4d4d-3345-a696-ac60aecb04c1""",FF,2026-03-06,831480,34,1,R,R,0,0,92.2,foul,
831480_ab34_p2,8600e562-4f49-3dd4-aaa7-8323883393cf,"https://www.mlb.com/video/search?q=playid=""8600e562-4f49-3dd4-aaa7-8323883393cf""",FF,2026-03-06,831480,34,2,R,R,0,1,93.3,foul,
831480_ab35_p5,cfef7b91-7ed9-3656-8562-39a849617f78,"https://www.mlb.com/video/search?q=playid=""cfef7b91-7ed9-3656-8562-39a849617f78""",FF,2026-03-06,831480,35,5,R,R,3,1,94.4,foul,
831480_ab35_p6,ced8624d-8578-3aec-bc7b-40417ead01f3,"https://www.mlb.com/video/search?q=playid=""ced8624d-8578-3aec-bc7b-40417ead01f3""",FF,2026-03-06,831480,35,6,R,R,3,2,94.5,ball,
831480_ab36_p1,e041114a-dbd4-3c72-90f1-c7f32adc2d6f,"https://www.mlb.com/video/search?q=playid=""e041114a-dbd4-3c72-90f1-c7f32adc2d6f""",FF,2026-03-06,831480,36,1,R,R,0,0,93.2,ball,
831468_ab36_p1,2a4efe03-5241-3cba-812f-790ce7fb2958,"https://www.mlb.com/video/search?q=playid=""2a4efe03-5241-3cba-812f-790ce7fb2958""",FF,2026-03-09,831468,36,1,L,R,0,0,93.5,ball,
831468_ab36_p2,da0ef520-a62d-33a1-bb43-cc8cd60a7359,"https://www.mlb.com/video/search?q=playid=""da0ef520-a62d-33a1-bb43-cc8cd60a7359""",FF,2026-03-09,831468,36,2,L,R,1,0,94.5,called_strike,
831468_ab36_p5,355affbb-38ae-38e4-89d1-c74066c05f6f,"https://www.mlb.com/video/search?q=playid=""355affbb-38ae-38e4-89d1-c74066c05f6f""",FF,2026-03-09,831468,36,5,L,R,2,2,95,foul,
831468_ab36_p6,206704af-1ad2-3bb6-b5d5-d8052ee76487,"https://www.mlb.com/video/search?q=playid=""206704af-1ad2-3bb6-b5d5-d8052ee76487""",FF,2026-03-09,831468,36,6,L,R,2,2,95.7,ball,
831468_ab37_p1,0c48ff0e-41b9-32d3-b35d-ba4829109c4b,"https://www.mlb.com/video/search?q=playid=""0c48ff0e-41b9-32d3-b35d-ba4829109c4b""",FF,2026-03-09,831468,37,1,R,R,0,0,94.2,hit_into_play,
831468_ab38_p6,5246636b-1c4f-3573-85ce-ded22987c0c0,"https://www.mlb.com/video/search?q=playid=""5246636b-1c4f-3573-85ce-ded22987c0c0""",FF,2026-03-09,831468,38,6,R,R,2,2,94.2,ball,
831462_ab21_p1,1751aff1-9ae0-3a0e-a698-f55883cbaeca,"https://www.mlb.com/video/search?q=playid=""1751aff1-9ae0-3a0e-a698-f55883cbaeca""",FF,2026-03-13,831462,21,1,R,R,0,0,92.1,ball,
831462_ab21_p2,5a7297c9-e981-332e-b325-4d75c4e9a4bd,"https://www.mlb.com/video/search?q=playid=""5a7297c9-e981-332e-b325-4d75c4e9a4bd""",FF,2026-03-13,831462,21,2,R,R,1,0,92.7,called_strike,
831462_ab21_p4,d0938fc8-7667-33f8-96df-4570abe5c711,"https://www.mlb.com/video/search?q=playid=""d0938fc8-7667-33f8-96df-4570abe5c711""",FF,2026-03-13,831462,21,4,R,R,1,2,93.1,foul,
831462_ab22_p1,e5d2700c-cfa9-3693-8b97-ca6d1224c864,"https://www.mlb.com/video/search?q=playid=""e5d2700c-cfa9-3693-8b97-ca6d1224c864""",FF,2026-03-13,831462,22,1,R,R,0,0,93.4,called_strike,
831462_ab23_p4,bf4d0b10-a562-302e-99f7-7680187293dd,"https://www.mlb.com/video/search?q=playid=""bf4d0b10-a562-302e-99f7-7680187293dd""",FF,2026-03-13,831462,23,4,R,R,1,2,94.2,hit_into_play,
831462_ab24_p2,9de5e4a3-6d46-372e-aa08-dd69a63c6d2d,"https://www.mlb.com/video/search?q=playid=""9de5e4a3-6d46-372e-aa08-dd69a63c6d2d""",FF,2026-03-13,831462,24,2,L,R,0,1,93.1,ball,
831462_ab24_p4,30a03511-7d5e-3d89-8208-34d4bda05cfa,"https://www.mlb.com/video/search?q=playid=""30a03511-7d5e-3d89-8208-34d4bda05cfa""",FF,2026-03-13,831462,24,4,L,R,2,1,93.5,ball,
831462_ab25_p1,814cd7fd-2dfc-337c-ab49-201131140190,"https://www.mlb.com/video/search?q=playid=""814cd7fd-2dfc-337c-ab49-201131140190""",FF,2026-03-13,831462,25,1,R,R,0,0,91.8,swinging_strike,
